,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
61,SF,11649891,5600,Evan Fournier,ORL,26,1,1,0,33.5,15,6,15,40.0,1,8,12.5,2,3,66.7,1,4,5,4,0,0,0,4,27.0,0,0,8
62,SG,11649902,5500,Kent Bazemore,ATL,29,1,0,1,30.6,13,5,14,35.7,2,4,50.0,1,2,50.0,1,4,5,4,1,4,1,3,39.0,0,0,16
63,SF,11649902,5500,Kent Bazemore,ATL,29,1,0,1,30.6,13,5,14,35.7,2,4,50.0,1,2,50.0,1,4,5,4,1,4,1,3,39.0,0,0,16
64,SG,11649907,5500,JJ Redick,PHI,34,1,1,0,29.5,23,9,17,52.9,5,11,45.5,0,0,0.0,0,1,1,1,0,0,1,0,28.7,0,0,6
65,SF,11649907,5500,JJ Redick,PHI,34,1,1,0,29.5,23,9,17,52.9,5,11,45.5,0,0,0.0,0,1,1,1,0,0,1,0,28.7,0,0,6
66,SG,11649928,5300,Gordon Hayward,BOS,28,1,0,1,26.1,7,3,7,42.9,0,2,0.0,1,1,100.0,1,3,4,3,3,2,0,0,19.3,0,0,-11
67,SF,11649928,5300,Gordon Hayward,BOS,28,1,0,1,26.1,7,3,7,42.9,0,2,0.0,1,1,100.0,1,3,4,3,3,2,0,0,19.3,0,0,-11
68,SG,11649923,5300,E'Twaun Moore,NOP,29,1,1,0,35.8,13,6,12,50.0,1,2,50.0,0,0,0.0,0,5,5,1,2,0,0,1,18.5,0,0,6
69,SF,11649923,5300,E'Twaun Moore,NOP,29,1,1,0,35.8,13,6,12,50.0,1,2,50.0,0,0,0.0,0,5,5,1,2,0,0,1,18.5,0,0,6
70,SF,11649936,5200,Nemanja Bjelica,SAC,30,1,0,1,13.8,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,3.2,0,0,-15
71,PF,11649936,5200,Nemanja Bjelica,SAC,30,1,0,1,13.8,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,3.2,0,0,-15
72,SG,11649942,5100,Jeremy Lamb,CHA,26,1,0,1,39.8,20,6,18,33.3,1,6,16.7,7,7,100.0,3,7,10,3,1,1,0,4,38.5,1,0,-1
73,SF,11649942,5100,Jeremy Lamb,CHA,26,1,0,1,39.8,20,6,18,33.3,1,6,16.7,7,7,100.0,3,7,10,3,1,1,0,4,38.5,1,0,-1
74,SG,11649947,5100,Terrence Ross,ORL,27,1,1,0,16.3,13,4,5,80.0,2,2,100.0,3,3,100.0,0,2,2,0,2,0,0,5,13.4,0,0,9
75,SF,11649947,5100,Terrence Ross,ORL,27,1,1,0,16.3,13,4,5,80.0,2,2,100.0,3,3,100.0,0,2,2,0,2,0,0,5,13.4,0,0,9
76,SG,11649952,5000,Bojan Bogdanovic,IND,29,1,1,0,28.3,22,7,12,58.3,3,5,60.0,5,5,100.0,0,4,4,0,4,0,0,2,22.8,0,0,6
77,SF,11649952,5000,Bojan Bogdanovic,IND,29,1,1,0,28.3,22,7,12,58.3,3,5,60.0,5,5,100.0,0,4,4,0,4,0,0,2,22.8,0,0,6
