PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Shabazz Napier,BKN,27,1,1,0,18.3,8,2,7,28.6,0,2,0,4,5,80,0,4,4,1,0,0,1,1,17.3,0,0,0,
Serge Ibaka,TOR,29,1,0,1,34.5,21,8,15,53.3,2,3,66.7,3,3,100,1,3,4,0,0,1,1,3,31.8,0,0,4,
Ryan Arcidiacono,CHI,24,1,0,1,29.2,3,1,6,16.7,1,6,16.7,0,0,0,0,2,2,3,0,1,0,1,12.9,0,0,-14,
Rudy Gobert,UTA,26,1,0,1,28.3,12,5,10,50,0,0,0,2,4,50,6,4,10,1,3,0,1,5,25.5,1,0,-26,
Royce O'Neale,UTA,25,1,0,1,16.6,2,1,1,100,0,0,0,0,0,0,0,1,1,1,1,1,0,4,6.7,0,0,9,
Rodney McGruder,MIA,27,1,0,1,31.5,11,5,11,45.5,1,3,33.3,0,0,0,1,4,5,1,1,1,0,1,20.5,0,0,13,
Rodions Kurucs,BKN,20,1,1,0,20.8,9,4,8,50,1,2,50,0,0,0,1,2,3,0,0,0,0,0,12.6,0,0,1,
Robin Lopez,CHI,30,1,0,1,19.9,5,2,5,40,0,0,0,1,2,50,1,0,1,1,1,0,1,1,9.7,0,0,-1,
Robert Covington,MIN,27,1,1,0,23.4,14,5,7,71.4,4,6,66.7,0,0,0,1,4,5,0,1,3,0,5,28,0,0,4,
Ricky Rubio,UTA,28,1,0,1,31.4,13,4,8,50,1,2,50,4,9,44.4,0,3,3,4,3,1,0,5,22.6,0,0,-15,
Pat Connaughton,MIL,25,1,1,0,22.8,2,1,4,25,0,3,0,0,0,0,0,7,7,4,0,1,0,2,19.4,0,0,14,
Pascal Siakam,TOR,24,1,0,1,39.2,16,6,11,54.5,0,0,0,4,6,66.7,3,6,9,4,2,2,0,6,36.8,0,0,-2,
